id,latitude,longitude,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
15106613,40.78478494,-73.94866028,98,9,10,10,10,9,10,2.32
7286324,40.76310257,-73.92935648,91,9,9,9,9,9,9,2.33
18235030,40.66347863,-73.9880963,94,9,9,9,10,9,10,2.33
8337536,40.81634709,-73.94379108,94,9,9,10,10,9,10,2.33
18655148,40.77232007,-73.95830948,89,9,9,8,9,9,9,2.35
2738669,40.75710025,-73.9187654,93,9,10,10,10,9,9,2.35
7344720,40.79459579,-73.93571705,89,9,9,10,9,9,9,2.37
19926477,40.85476031,-73.88464997,100,9,9,10,10,9,9,2.37
16039736,40.68091605,-73.95336366,82,9,9,10,10,9,9,2.38
11085577,40.76120802,-73.99032967,80,9,8,9,9,9,8,2.39
7144145,40.71043989,-73.91916773,85,9,8,10,10,9,9,2.39
18313139,40.76353999,-73.86712193,83,9,8,10,10,9,8,2.4
12762161,40.75318646,-73.93382998,90,9,9,9,9,9,9,2.41
9485606,40.81041475,-73.9444981,90,9,8,10,10,9,9,2.41
8830586,40.77737701,-73.92203588,84,9,7,9,10,9,9,2.43
7763869,40.66025586,-73.93991968,90,9,9,10,9,9,9,2.43
51485,40.72319439,-73.99200694,86,9,8,9,9,9,9,2.44
9522516,40.75455026,-73.93673731,89,9,9,9,9,9,9,2.44
15867724,40.76827754,-73.95720959,89,9,9,10,9,9,9,2.44
1308841,40.69807993,-73.934721,95,9,10,10,10,9,9,2.45
1091840,40.78859002,-73.9471508,88,9,9,10,10,9,9,2.48
4355379,40.66299685,-73.95730249,93,9,10,10,10,9,9,2.52
333175,40.75439477,-73.91743174,89,9,9,9,9,9,9,2.53
7086539,40.68773682,-73.91549758,88,9,9,10,10,9,9,2.54
19212370,40.77320456,-73.98767778,93,9,9,9,10,9,8,2.54
15307704,40.6568877,-73.95796454,90,9,8,10,9,9,9,2.55
8111575,40.6903478,-73.92981029,82,9,8,9,10,9,8,2.56
19851136,40.6929561,-73.92079265,80,9,7,10,9,9,9,2.57
16393191,40.74785831,-73.99652126,92,9,9,10,10,9,9,2.57
2478441,40.76797469,-73.99396191,93,9,9,10,10,9,9,2.57
16506330,40.75632466,-73.7637184,87,9,8,9,9,9,9,2.58
15600896,40.75204361,-73.93805493,88,9,9,10,9,9,9,2.58
5125051,40.69848685,-73.93684938,91,9,9,10,10,9,9,2.59
4622869,40.7157044,-73.99094191,94,9,10,9,10,9,9,2.59
3835681,40.77478202,-73.91912899,86,9,9,9,9,9,9,2.6
18208335,40.72818975,-73.98087941,90,9,10,9,9,9,9,2.61
16123619,40.75634254,-73.99185591,91,9,10,9,9,9,9,2.62
2508374,40.67349098,-73.76951396,93,9,10,10,10,9,9,2.62
19438842,40.82350113,-73.95359289,100,9,9,9,10,9,10,2.63
9434802,40.69076996,-73.95144977,85,9,9,10,9,9,8,2.66
6169065,40.76423185,-73.92196499,92,9,9,10,10,9,9,2.67
5320325,40.81524159,-73.94751202,91,9,9,9,9,9,9,2.69
3143596,40.68451532,-73.95534617,92,9,9,10,10,9,9,2.69
1668328,40.7108449,-73.94860577,94,9,9,10,10,9,9,2.69
11190698,40.68770873,-73.91720327,90,9,9,10,9,9,9,2.71
16082515,40.73577833,-73.95456707,87,9,8,9,9,9,9,2.72
11982791,40.68611758,-73.94383536,89,9,9,9,9,9,9,2.73
9362344,40.69279218,-73.94190278,89,9,9,9,9,9,9,2.73
4365276,40.70698378,-73.95405595,90,9,9,10,10,9,9,2.73
16766700,40.82818409,-73.93890353,95,9,9,10,10,9,10,2.74
11707920,40.64187856,-73.98041788,89,9,9,10,10,9,9,2.75
6993958,40.70603431,-73.92934938,87,9,9,9,9,9,9,2.76
685006,40.66140849,-73.96175023,93,9,9,10,10,9,9,2.76
14915471,40.67750897,-73.94309821,92,9,8,10,10,9,9,2.79
18407251,40.725707,-73.84944422,93,9,9,10,10,9,9,2.79
7077220,40.74641628,-73.98678834,83,9,9,9,9,9,8,2.81
18542068,40.7422867,-74.00539572,84,9,8,9,9,9,8,2.82
15176427,40.77149546,-73.9522216,89,9,8,10,10,9,9,2.82
152883,40.70697096,-73.96803322,93,9,9,10,9,9,9,2.82
8615137,40.70742688,-73.9257155,95,9,9,10,10,9,9,2.82
17626523,40.69079009,-73.94883191,91,9,8,10,10,9,9,2.83
6778747,40.71734631,-73.99326744,94,9,10,10,10,9,9,2.83
6822471,40.693498,-73.95068395,84,9,9,9,8,9,8,2.86
3425822,40.73578454,-73.92471925,91,9,9,10,10,9,9,2.88
19179961,40.6810591,-73.88915685,96,9,9,10,10,9,10,2.88
828796,40.68673376,-73.96252118,94,9,9,10,10,9,9,2.89
13252254,40.70332068,-73.91838672,92,9,10,9,9,9,9,2.9
4274595,40.80751491,-73.94097087,93,9,9,10,10,9,9,2.9
15553947,40.79571275,-73.94827953,88,9,9,9,9,9,9,2.91
14311699,40.71123117,-73.96147521,91,9,9,10,9,9,9,2.91
13114110,40.6849097,-73.93142798,80,9,8,9,9,9,8,2.93
18877341,40.69671156,-73.92627968,90,9,10,9,8,9,9,2.93
4995993,40.80691415,-73.94871239,84,9,8,9,8,9,9,2.94
14932930,40.68335711,-73.98316341,91,9,9,10,10,9,9,2.95
18638573,40.7668157,-73.90806833,91,9,9,10,9,9,9,2.95
11667123,40.82076621,-73.94536256,93,9,10,10,10,9,9,2.95
15552671,40.83657919,-73.93832598,94,9,9,10,10,9,10,2.95
3534012,40.6970768,-73.92954416,88,9,9,9,9,9,9,2.97
14139921,40.8382786,-73.94372453,88,9,8,9,10,9,9,2.97
18766531,40.68578395,-73.96119088,94,9,9,10,10,9,10,2.97
15187281,40.69874797,-73.93482072,95,9,9,10,10,9,9,2.97
10592845,40.81498306,-73.93650018,84,9,8,9,9,9,9,2.98
620181,40.70333843,-73.90924698,91,9,9,10,10,9,9,2.99
11970301,40.62735295,-74.02343989,93,9,9,10,10,9,9,2.99
20053598,40.71266134,-73.9606867,87,9,7,7,9,9,9,3
19952060,40.79903517,-73.93829055,87,9,9,10,10,9,9,3
1279555,40.78227572,-73.97268554,80,10,7,10,10,9,9,0.04
127387,40.66862433,-73.99259712,100,10,10,10,10,9,10,0.04
1251653,40.80554539,-73.95745651,90,10,10,10,10,9,9,0.05
641012,40.68434945,-73.92424398,100,10,10,10,10,9,10,0.05
595321,40.71316353,-73.94531932,100,10,10,10,10,9,10,0.05
20056846,40.77009868,-73.92969757,100,10,10,10,10,9,10,2
6207473,40.64233402,-73.98019537,91,10,9,9,10,9,9,2.01
3646059,40.71565638,-73.94099512,93,10,9,9,9,9,9,2.01
1479731,40.68007468,-73.96333919,92,10,9,10,10,9,9,2.03
14115645,40.70219334,-73.7329614,95,10,10,9,9,9,10,2.03
6611764,40.75314361,-73.82136145,96,10,10,10,10,9,10,2.03
6546016,40.82588722,-73.95094351,96,10,9,10,10,9,10,2.03
16215908,40.6956684,-73.93161979,96,10,10,10,10,9,10,2.04
8953404,40.76800782,-73.92500852,95,10,10,10,10,9,10,2.05
17545123,40.81631815,-73.90991353,97,10,10,10,10,9,10,2.05
14263451,40.59785432,-73.99817022,93,10,9,9,10,9,10,2.06
14419285,40.76926677,-73.95278296,94,10,10,10,10,9,9,2.07
13153886,40.68144949,-73.9420824,97,10,10,10,10,9,10,2.07
14378148,40.69111528,-73.93899988,97,10,10,10,10,9,10,2.07
4168812,40.68050309,-73.93775116,92,10,10,10,9,9,9,2.08
7715342,40.67350125,-73.93855973,94,10,10,10,10,9,9,2.08
9170129,40.79938741,-73.95470434,96,10,10,10,10,9,10,2.08
13206241,40.81480465,-73.94235092,93,10,10,10,10,9,9,2.09
4347648,40.74784065,-73.81415169,96,10,9,10,10,9,10,2.09
2193945,40.68774879,-73.95209537,97,10,10,10,10,9,10,2.09
